SU3_ADJOINT_SWAP_TABLE_V1
# Eq8 convention: B(g1,g2)[in] = sum_out W[out,in] B(g2,g1)[out]
# Irrep convention: SU(3) Dynkin labels p q; adjoint=(1,1)
# Vertex convention: isometric real CG maps; multiplicities are zero-based
# Self vertex mult=0: normalized action v tensor X -> rho(X)v (except 8x8)
# 8x8->8: mult=0 Jordan/symmetric, mult=1 Lie-bracket/antisymmetric
NC 3
ADJOINT_PQ 1 1
MAX_PREFIX_GLUONS 2
NBLOCKS 46
NPATHS 137
NVALUES 557
BEGIN_BLOCKS
# block left_p left_q right_p right_q size
27 4 1 -2.24105364250198807e-01
27 4 2 7.39509972887452238e-01
27 4 3 -2.74471895516775033e-01
27 4 4 3.48214285714285920e-01
27 4 5 -4.51753951452625646e-01
27 5 0 7.96819072889595748e-01
27 5 1 -2.51976315339484558e-01
27 5 3 -3.08606699924183714e-01
27 5 4 -4.51753951452625813e-01
27 5 5 4.76190476190476511e-02
28 0 0 3.42592592592592615e-01
28 0 1 -3.31269329999969026e-02
28 0 2 -8.66124395086560750e-02
28 0 3 1.90181443578182785e-01
28 0 4 2.33853586673371389e-01
28 0 5 2.33853586673371250e-01
28 0 6 4.33613691358256503e-01
28 0 7 -7.40740740740740700e-02
28 0 8 -2.34242789642102378e-01
28 0 9 6.92899516069248711e-01
28 1 0 -3.31269329999968887e-02
28 1 1 5.18518518518518504e-02
28 1 2 3.09874083901509556e-01
28 1 3 -2.72165526975908789e-01
28 1 6 1.63299316185545246e-01
28 1 7 -3.31269329999968887e-02
28 1 8 8.38052481406278749e-01
28 1 9 3.09874083901509445e-01
28 2 0 -8.66124395086560195e-02
28 2 1 3.09874083901509334e-01
28 2 2 1.43518518518518490e-01
28 2 3 -7.11593803191638841e-02
28 2 4 3.12500000000000056e-01
28 2 5 3.12499999999999778e-01
28 2 6 -3.96459404635341406e-01
28 2 7 6.92899516069248600e-01
28 2 8 -6.26040188687790322e-02
28 2 9 1.85185185185185119e-01
28 3 0 1.90181443578182646e-01
28 3 1 -2.72165526975908734e-01
28 3 2 -7.11593803191638841e-02
28 3 3 8.12500000000000000e-01
28 3 6 -1.87499999999999944e-01
28 3 7 1.90181443578182646e-01
28 3 8 3.84900179459750802e-01
28 3 9 -7.11593803191638841e-02
28 4 0 2.33853586673371444e-01
28 4 2 3.12500000000000000e-01
28 4 4 -1.87499999999999972e-01
28 4 5 8.12499999999999889e-01
28 4 7 -2.33853586673371389e-01
28 4 9 -3.12500000000000000e-01
28 5 0 2.33853586673371305e-01
28 5 2 3.12499999999999944e-01
28 5 4 8.12500000000000222e-01
28 5 5 -1.87499999999999833e-01
28 5 7 -2.33853586673371250e-01
28 5 9 -3.12499999999999889e-01
28 6 0 4.33613691358256448e-01
28 6 1 1.63299316185545135e-01
28 6 2 -3.96459404635341517e-01
28 6 3 -1.87499999999999944e-01
28 6 6 4.69642857142857029e-01
28 6 7 4.33613691358256670e-01
28 6 8 1.64957219768464475e-01
28 6 9 -3.96459404635341572e-01
28 7 0 -7.40740740740740700e-02
28 7 1 -3.31269329999968956e-02
28 7 2 6.92899516069248489e-01
28 7 3 1.90181443578182674e-01
28 7 4 -2.33853586673371194e-01
28 7 5 -2.33853586673371222e-01
28 7 6 4.33613691358256503e-01
28 7 7 3.42592592592592671e-01
28 7 8 -2.34242789642102295e-01
28 7 9 -8.66124395086560334e-02
28 8 0 -2.34242789642102212e-01
28 8 1 8.38052481406278749e-01
28 8 2 -6.26040188687790461e-02
28 8 3 3.84900179459750635e-01
28 8 6 1.64957219768464586e-01
28 8 7 -2.34242789642102128e-01
28 8 8 6.87830687830688070e-02
28 8 9 -6.26040188687790183e-02
28 9 0 6.92899516069248600e-01
28 9 1 3.09874083901509445e-01
28 9 2 1.85185185185185175e-01
28 9 3 -7.11593803191638286e-02
28 9 4 -3.12499999999999778e-01
28 9 5 -3.12499999999999778e-01
28 9 6 -3.96459404635341850e-01
28 9 7 -8.66124395086559917e-02
28 9 8 -6.26040188687789906e-02
28 9 9 1.43518518518518517e-01
29 0 0 3.33333333333333537e-01
29 0 1 9.42809041582063467e-01
29 1 0 9.42809041582063578e-01
29 1 1 -3.33333333333333703e-01
30 0 0 6.66666666666666796e-02
30 0 1 1.82574185835055303e-01
30 0 2 3.74165738677394111e-01
30 0 3 2.10818510677891979e-01
30 0 4 8.81917103688196646e-01
30 1 0 1.82574185835055358e-01
30 1 1 -3.12500000000000056e-01
30 1 2 3.84260653723485057e-01
30 1 3 7.93856620135735547e-01
30 1 4 -3.01903682212279922e-01
30 2 0 3.74165738677394111e-01
30 2 1 3.84260653723484891e-01
30 2 2 -7.12500000000000133e-01
30 2 3 4.43705983732471332e-01
30 2 4 8.83883476483184327e-02
30 3 0 2.10818510677892007e-01
30 3 1 7.93856620135735769e-01
30 3 2 4.43705983732471332e-01
30 3 3 -8.33333333333333565e-02
30 3 4 -3.48608344389198188e-01
30 4 0 8.81917103688196868e-01
30 4 1 -3.01903682212279922e-01
30 4 2 8.83883476483184050e-02
30 4 3 -3.48608344389198188e-01
30 4 4 4.16666666666666644e-02
31 0 0 -8.33333333333333287e-02
31 0 1 2.28217732293819281e-01
31 0 2 3.34076552390531023e-01
31 0 3 1.66666666666666435e-01
31 0 4 -3.27326835353988488e-01
31 0 5 8.33333333333334036e-01
31 1 0 2.28217732293819253e-01
31 1 1 2.49999999999999889e-01
31 1 3 9.12870929175277457e-01
31 1 5 -2.28217732293819142e-01
31 2 0 3.34076552390530745e-01
31 2 2 1.07142857142857234e-01
31 2 4 8.74817765279706339e-01
31 2 5 3.34076552390530968e-01
31 3 0 1.66666666666666741e-01
31 3 1 9.12870929175277568e-01
31 3 3 -3.33333333333333315e-01
31 3 5 -1.66666666666666657e-01
31 4 0 -3.27326835353988377e-01
31 4 2 8.74817765279706672e-01
31 4 4 1.42857142857142960e-01
31 4 5 -3.27326835353988710e-01
31 5 0 8.33333333333333148e-01
31 5 1 -2.28217732293819336e-01
31 5 2 3.34076552390530523e-01
31 5 3 -1.66666666666666768e-01
31 5 4 -3.27326835353987877e-01
31 5 5 -8.33333333333334120e-02
32 0 0 6.25000000000000000e-02
32 0 1 2.74471895516774922e-01
32 0 2 -1.61374306091975728e-01
32 0 3 3.08606699924183936e-01
32 0 4 8.67527617235708925e-01
32 0 5 -2.16506350946109760e-01
32 1 0 2.74471895516775255e-01
32 1 1 3.48214285714285754e-01
32 1 2 4.72455591261534136e-02
32 1 3 -4.51753951452625868e-01
32 1 4 2.24105364250199030e-01
32 1 5 7.39509972887451794e-01
32 2 0 -1.61374306091975728e-01
32 2 1 4.72455591261533789e-02
32 2 2 8.33333333333333426e-02
32 2 3 7.96819072889595748e-01
32 2 4 -1.31761569173682563e-01
32 2 5 5.59016994374947118e-01
32 3 0 3.08606699924183825e-01
32 3 1 -4.51753951452625646e-01
32 3 2 7.96819072889596303e-01
32 3 3 4.76190476190476233e-02
32 3 4 2.51976315339484891e-01
32 4 0 8.67527617235708925e-01
32 4 1 2.24105364250198696e-01
32 4 2 -1.31761569173682536e-01
32 4 3 2.51976315339484946e-01
32 4 4 -2.91666666666666963e-01
32 4 5 -1.76776695296636838e-01
32 5 0 -2.16506350946109510e-01
32 5 1 7.39509972887452016e-01
32 5 2 5.59016994374947118e-01
32 5 4 -1.76776695296636838e-01
32 5 5 -2.49999999999999944e-01
33 0 0 1.00000000000000000e+00
34 0 0 -3.33333333333333370e-01
34 0 1 9.42809041582065022e-01
34 1 0 9.42809041582065577e-01
34 1 1 3.33333333333333537e-01
35 0 0 1.00000000000000000e+00
36 0 0 -1.00000000000000000e+00
37 0 0 2.00000000000000039e-01
37 0 1 9.79795897113270975e-01
37 1 0 9.79795897113271308e-01
37 1 1 -2.00000000000000039e-01
38 0 0 3.99999999999999856e-01
38 0 1 -4.47213595499957928e-01
38 0 2 -7.34846922834953453e-01
38 0 3 3.16227766016837941e-01
38 1 0 -4.47213595499957983e-01
38 1 2 -5.47722557505166296e-01
38 1 3 -7.07106781186547684e-01
38 2 0 -7.34846922834953564e-01
38 2 1 -5.47722557505166296e-01
38 2 2 1.00000000000000006e-01
38 2 3 3.87298334620741647e-01
38 3 0 3.16227766016837941e-01
38 3 1 -7.07106781186547795e-01
38 3 2 3.87298334620741758e-01
38 3 3 -5.00000000000000222e-01
39 0 0 1.00000000000000000e+00
40 0 0 6.66666666666666796e-02
40 0 1 1.82574185835055275e-01
